1,1,1.125515e-79
1,2,1.074595e-79
1,3,8.914578e-80
1,4,4.849003e-80
1,5,2.772771e-80
1,6,1.986427e-80
1,7,2.095483e-80
1,8,1.867064e-80
1,9,1.224784e-80
1,10,9.288321e-81
1,11,6.597679e-81
1,12,1.829807e-81
2,1,1.074595e-79
2,2,1.238229e-79
2,3,1.114473e-79
2,4,7.787734e-80
2,5,5.095254e-80
2,6,3.562126e-80
2,7,3.130663e-80
2,8,2.689763e-80
2,9,1.857970e-80
2,10,1.358108e-80
2,11,8.594179e-81
2,12,3.368272e-81
3,1,8.914578e-80
3,2,1.114473e-79
3,3,1.104953e-79
3,4,8.382716e-80
3,5,5.762701e-80
3,6,4.016377e-80
3,7,3.309892e-80
3,8,2.804493e-80
3,9,1.978565e-80
3,10,1.426378e-80
3,11,8.569970e-81
3,12,3.835038e-81
4,1,4.849003e-80
4,2,7.787734e-80
4,3,8.382716e-80
4,4,7.790785e-80
4,5,5.530790e-80
4,6,3.829776e-80
4,7,2.919842e-80
4,8,2.428203e-80
4,9,1.763706e-80
4,10,1.247715e-80
4,11,6.930650e-81
4,12,3.711609e-81
5,1,2.772771e-80
5,2,5.095254e-80
5,3,5.762701e-80
5,4,5.530790e-80
5,5,4.216938e-80
5,6,2.830999e-80
5,7,2.095926e-80
5,8,1.748396e-80
5,9,1.281404e-80
5,10,9.021960e-81
5,11,4.873870e-81
5,12,2.765259e-81
6,1,1.986427e-80
6,2,3.562126e-80
6,3,4.016377e-80
6,4,3.829776e-80
6,5,2.830999e-80
6,6,2.097270e-80
6,7,1.534088e-80
6,8,1.267327e-80
6,9,9.302955e-81
6,10,6.552625e-81
6,11,3.565869e-81
6,12,1.990021e-81
7,1,2.095483e-80
7,2,3.130663e-80
7,3,3.309892e-80
7,4,2.919842e-80
7,5,2.095926e-80
7,6,1.534088e-80
7,7,1.276138e-80
7,8,1.010975e-80
7,9,7.311912e-81
7,10,5.218193e-81
7,11,2.945443e-81
7,12,1.512565e-81
8,1,1.867064e-80
8,2,2.689763e-80
8,3,2.804493e-80
8,4,2.428203e-80
8,5,1.748396e-80
8,6,1.267327e-80
8,7,1.010975e-80
8,8,8.765717e-81
8,9,6.096286e-81
8,10,4.372763e-81
8,11,2.492389e-81
8,12,1.253894e-81
9,1,1.224784e-80
9,2,1.857970e-80
9,3,1.978565e-80
9,4,1.763706e-80
9,5,1.281404e-80
9,6,9.302955e-81
9,7,7.311912e-81
9,8,6.096286e-81
9,9,4.485540e-81
9,10,3.128605e-81
9,11,1.769522e-81
9,12,9.177473e-82
10,1,9.288321e-81
10,2,1.358108e-80
10,3,1.426378e-80
10,4,1.247715e-80
10,5,9.021960e-81
10,6,6.552625e-81
10,7,5.218193e-81
10,8,4.372763e-81
10,9,3.128605e-81
10,10,2.302908e-81
10,11,1.268716e-81
10,12,6.500037e-82
11,1,6.597679e-81
11,2,8.594179e-81
11,3,8.569970e-81
11,4,6.930650e-81
11,5,4.873870e-81
11,6,3.565869e-81
11,7,2.945443e-81
11,8,2.492389e-81
11,9,1.769522e-81
11,10,1.268716e-81
11,11,7.576801e-82
11,12,3.501923e-82
12,1,1.829807e-81
12,2,3.368272e-81
12,3,3.835038e-81
12,4,3.711609e-81
12,5,2.765259e-81
12,6,1.990021e-81
12,7,1.512565e-81
12,8,1.253894e-81
12,9,9.177473e-82
12,10,6.500037e-82
12,11,3.501923e-82
12,12,2.117999e-82
