56857233_0|56857235|COMPLETED|0:0|03:01:20|2026-08-13T04:40:42|2026-08-13T07:42:02|nid008604
56857233_1|56857236|COMPLETED|0:0|02:58:59|2026-08-13T04:43:23|2026-08-13T07:42:22|nid002409
56857233_2|56857237|COMPLETED|0:0|03:01:01|2026-08-13T04:49:18|2026-08-13T07:50:19|nid001437
56857233_3|56857238|COMPLETED|0:0|02:59:43|2026-08-13T04:58:54|2026-08-13T07:58:37|nid002661
56857233_4|56857239|COMPLETED|0:0|02:59:29|2026-08-13T04:58:54|2026-08-13T07:58:23|nid004000
56857233_5|56857240|COMPLETED|0:0|03:03:03|2026-08-13T05:13:10|2026-08-13T08:16:13|nid002688
56857233_6|56857241|COMPLETED|0:0|03:00:31|2026-08-13T05:13:10|2026-08-13T08:13:41|nid002692
56857233_7|56857242|COMPLETED|0:0|03:00:21|2026-08-13T05:22:34|2026-08-13T08:22:55|nid008201
56857233_8|56857243|COMPLETED|0:0|02:59:55|2026-08-13T05:23:17|2026-08-13T08:23:12|nid003241
56857233_9|56857244|COMPLETED|0:0|03:05:19|2026-08-13T05:29:12|2026-08-13T08:34:31|nid001677
56857233_10|56858995|COMPLETED|0:0|03:00:01|2026-08-13T07:51:49|2026-08-13T10:51:50|nid008264
56857233_11|56859063|COMPLETED|0:0|02:59:02|2026-08-13T07:51:49|2026-08-13T10:50:51|nid008625
56857233_12|56859255|COMPLETED|0:0|03:00:14|2026-08-13T07:54:23|2026-08-13T10:54:37|nid008264
56857233_13|56859576|COMPLETED|0:0|03:01:25|2026-08-13T08:00:44|2026-08-13T11:02:09|nid008264
56857233_14|56859577|COMPLETED|0:0|03:01:10|2026-08-13T08:13:25|2026-08-13T11:14:35|nid008629
56857233_15|56860201|COMPLETED|0:0|03:03:22|2026-08-13T08:17:39|2026-08-13T11:21:01|nid008604
56857233_16|56860202|COMPLETED|0:0|02:58:48|2026-08-13T08:32:08|2026-08-13T11:30:56|nid008556
56857233_17|56860679|COMPLETED|0:0|03:03:28|2026-08-13T08:50:07|2026-08-13T11:53:35|nid008209
56857233_18|56860692|COMPLETED|0:0|02:59:23|2026-08-13T08:50:07|2026-08-13T11:49:30|nid008625
56857233_19|56861016|COMPLETED|0:0|03:00:49|2026-08-13T09:23:27|2026-08-13T12:24:16|nid008376
56857233_20|56869570|COMPLETED|0:0|03:02:59|2026-08-13T11:18:51|2026-08-13T14:21:50|nid002332
56857233_21|56869571|COMPLETED|0:0|03:03:03|2026-08-13T11:39:45|2026-08-13T14:42:48|nid004000
56857233_22|56869752|COMPLETED|0:0|03:00:29|2026-08-13T11:46:27|2026-08-13T14:46:56|nid008376
56857233_23|56870479|COMPLETED|0:0|03:02:14|2026-08-13T12:16:37|2026-08-13T15:18:51|nid003312
56857233_24|56888352|COMPLETED|0:0|03:00:26|2026-08-13T12:34:53|2026-08-13T15:35:19|nid001436
56857233_25|56906472|COMPLETED|0:0|03:00:24|2026-08-13T15:31:10|2026-08-13T18:31:34|nid002664
56857233_26|56906853|COMPLETED|0:0|03:00:40|2026-08-13T15:46:55|2026-08-13T18:47:35|nid002332
56857233_27|56907605|COMPLETED|0:0|03:00:27|2026-08-13T15:58:50|2026-08-13T18:59:17|nid002004
56857233_28|56908049|COMPLETED|0:0|02:59:58|2026-08-13T16:18:32|2026-08-13T19:18:30|nid002577
56857233_29|56909346|COMPLETED|0:0|03:08:01|2026-08-13T16:20:46|2026-08-13T19:28:47|nid003465
56857233_30|56909521|COMPLETED|0:0|03:01:29|2026-08-13T16:22:47|2026-08-13T19:24:16|nid001436
56857233_31|56909701|COMPLETED|0:0|02:59:12|2026-08-13T16:25:51|2026-08-13T19:25:03|nid001436
56857233_32|56909819|COMPLETED|0:0|03:01:13|2026-08-13T16:30:49|2026-08-13T19:32:02|nid002297
56857233_33|56910168|COMPLETED|0:0|03:00:30|2026-08-13T16:40:02|2026-08-13T19:40:32|nid002657
56857233_34|56910665|COMPLETED|0:0|03:00:28|2026-08-13T16:41:05|2026-08-13T19:41:33|nid001528
56857233_35|56910731|COMPLETED|0:0|02:59:15|2026-08-13T18:32:19|2026-08-13T21:31:34|nid002664
56857233_36|56915632|COMPLETED|0:0|03:02:20|2026-08-13T18:48:08|2026-08-13T21:50:28|nid002332
56857233_37|56916267|COMPLETED|0:0|03:01:06|2026-08-13T18:59:23|2026-08-13T22:00:29|nid002857
56857233_38|56916702|COMPLETED|0:0|03:01:55|2026-08-13T19:20:10|2026-08-13T22:22:05|nid003689
56857233_39|56917476|COMPLETED|0:0|03:02:39|2026-08-13T19:24:50|2026-08-13T22:27:29|nid001436
56857233_40|56917668|COMPLETED|0:0|03:03:09|2026-08-13T19:26:58|2026-08-13T22:30:07|nid001273
56857233_41|56917737|COMPLETED|0:0|03:11:05|2026-08-13T19:29:44|2026-08-13T22:40:49|nid003465
56857233_42|56917858|COMPLETED|0:0|03:00:48|2026-08-13T19:32:33|2026-08-13T22:33:21|nid001437
56857233_43|56917960|COMPLETED|0:0|03:01:36|2026-08-13T19:40:56|2026-08-13T22:42:32|nid002657
56857233_44|56918369|COMPLETED|0:0|02:59:47|2026-08-13T19:45:36|2026-08-13T22:45:23|nid001412
56857233_45|56918606|COMPLETED|0:0|03:01:06|2026-08-13T21:31:57|2026-08-14T00:33:03|nid002664
56857233_46|56923791|COMPLETED|0:0|03:03:22|2026-08-13T21:50:44|2026-08-14T00:54:06|nid002332
56857233_47|56924283|COMPLETED|0:0|03:01:38|2026-08-13T22:00:36|2026-08-14T01:02:14|nid001677
56857233_48|56925012|COMPLETED|0:0|03:00:42|2026-08-13T22:23:02|2026-08-14T01:23:44|nid003689
56857233_49|56857233|COMPLETED|0:0|03:01:06|2026-08-13T22:32:45|2026-08-14T01:33:51|nid002644
